species_id,aou,english_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
990,4811,Island Scrub-Jay,Passeriformes,Corvidae,Aphelocoma,insularis,123,NA,m,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
990,4811,Island Scrub-Jay,Passeriformes,Corvidae,Aphelocoma,insularis,109,NA,f,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
1195,19500,Northern Red Bishop,Passeriformes,Ploceidae,Euplectes,franciscanus,16,NA,NA,NA,Nigeria,1,Common name in Dunning as Orange Bishop,NA,NA,NA,NA,NA
1196,19510,Pin-tailed Whydah,Passeriformes,Viduidae,Vidua,macroura,16,NA,m,NA,Kenya,NA,NA,NA,NA,NA,NA,NA
1196,19510,Pin-tailed Whydah,Passeriformes,Viduidae,Vidua,macroura,15.5,NA,f,NA,Kenya,NA,NA,NA,NA,NA,NA,NA
1197,8110,Scaly-breasted Munia,Passeriformes,Estrildidae,Lonchura,punctulata,13.6,NA,NA,NA,India,1,Common name in Dunning as Nutmeg Mannikin,NA,NA,NA,NA,NA
1229,5260,Brown-capped Rosy-Finch,Passeriformes,Fringillidae,Leucosticte,australis,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1296,5670,(Slate-colored Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco,hyemalis hyemalis,NA,NA,NA,NA,NA,NA,NA,1,Junco,hyemalis,NA,Use general case.
1297,5671,(Oregon Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco,hyemalis oreganus,NA,NA,NA,NA,NA,NA,NA,1,Junco,hyemalis,NA,Use general case.
1298,5680,(Pink-sided Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco,hyemalis mearnsi,NA,NA,NA,NA,NA,NA,NA,1,Junco,hyemalis,NA,Use general case.
1299,5660,(White-winged Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco,hyemalis aikeni,NA,NA,NA,NA,NA,NA,NA,1,Junco,hyemalis,NA,Use general case.
1300,5690,(Gray-headed Junco) Dark-eyed Junco,Passeriformes,Passerellidae,Junco,hyemalis caniceps,NA,NA,NA,NA,NA,NA,NA,1,Junco,hyemalis,NA,Use general case.
1430,6550,(Myrtle Warbler) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga,coronata coronata,NA,NA,NA,NA,NA,NA,NA,1,Setophaga,coronata,NA,Use general case.
1431,6560,(Audubon's Warbler) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga,coronata audoboni,NA,NA,NA,NA,NA,NA,NA,1,Setophaga,coronata,NA,Use general case.
27,20630,Egyptian Goose,Anseriformes,Anatidae,Alopochen,aegyptiaca,1873,NA,m,NA,NA,1,Alopochen aegyptiana,NA,NA,NA,NA,NA
28,10210,Muscovy Duck,Anseriformes,Anatidae,Cairina,moschata,2042,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,10210,Muscovy Duck,Anseriformes,Anatidae,Cairina,moschata,2858,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,3110,Plain Chachalaca,Galliformes,Cracidae,Ortalis,vetula,542,52,f,NA,"Texas, USA",NA,NA,NA,NA,NA,NA,NA
77,3110,Plain Chachalaca,Galliformes,Cracidae,Ortalis,vetula,584,58,m,NA,"Texas, USA",NA,NA,NA,NA,NA,NA,NA
85,2920,Mountain Quail,Galliformes,Odontophoridae,Oreortyx,pictus,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,2890,Northern Bobwhite,Galliformes,Odontophoridae,Colinus,virginianus,166,NA,NA,ridgwayi,"Sonora, Mexico",NA,NA,NA,NA,NA,NA,NA
90,2890,Northern Bobwhite,Galliformes,Odontophoridae,Colinus,virginianus,178,NA,NA,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA
92,2930,Scaled Quail,Galliformes,Odontophoridae,Callipepla,squamata,177,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2930,Scaled Quail,Galliformes,Odontophoridae,Callipepla,squamata,191,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,2940,California Quail,Galliformes,Odontophoridae,Callipepla,californica,151,NA,NA,achrustera,"Baja California Sur, Mexico",NA,NA,NA,NA,NA,NA,NA
94,2940,California Quail,Galliformes,Odontophoridae,Callipepla,californica,162,16.5,f,californica,"California, USA",NA,NA,NA,NA,NA,NA,NA
94,2940,California Quail,Galliformes,Odontophoridae,Callipepla,californica,186,15.7,m,californica,"California, USA",NA,NA,NA,NA,NA,NA,NA
95,2950,Gambel's Quail,Galliformes,Odontophoridae,Callipepla,gambelii,162,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,2950,Gambel's Quail,Galliformes,Odontophoridae,Callipepla,gambelii,170,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,2960,Montezuma Quail,Galliformes,Odontophoridae,Cyrtonyx,montezumae,179,19.5,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,2960,Montezuma Quail,Galliformes,Odontophoridae,Cyrtonyx,montezumae,192,14.2,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2882,Chukar,Galliformes,Phasianidae,Alectoris,chukar,466,NA,f,pubescens,"Hopei, China",NA,NA,NA,NA,NA,NA,NA
100,2882,Chukar,Galliformes,Phasianidae,Alectoris,chukar,541,NA,m,pubescens,"Hopei, China",NA,NA,NA,NA,NA,NA,NA
103,2881,Gray Partridge,Galliformes,Phasianidae,Perdix,perdix,393,34,f,NA,"North Dakota, USA",NA,NA,NA,NA,NA,NA,NA
103,2881,Gray Partridge,Galliformes,Phasianidae,Perdix,perdix,418,28,m,NA,"North Dakota, USA",NA,NA,NA,NA,NA,NA,NA
104,3091,Ring-necked Pheasant,Galliformes,Phasianidae,Phasianus,colchicus,953,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,3091,Ring-necked Pheasant,Galliformes,Phasianidae,Phasianus,colchicus,1317,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,3095,Indian Peafowl,Galliformes,Phasianidae,Pavo,cristatus,3622,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,3095,Indian Peafowl,Galliformes,Phasianidae,Pavo,cristatus,4766,231,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,3000,Ruffed Grouse,Galliformes,Phasianidae,Bonasa,umbellus,498,NA,f,NA,"Alberta, Canada",NA,NA,NA,NA,NA,NA,NA
106,3000,Ruffed Grouse,Galliformes,Phasianidae,Bonasa,umbellus,566,41.7,m,NA,"Alberta, Canada",NA,NA,NA,NA,NA,NA,NA
107,3090,Greater Sage-Grouse,Galliformes,Phasianidae,Centrocercus,urophasianus,1300,NA,f,phaios,"California, USA",NA,NA,NA,NA,NA,NA,NA
107,3090,Greater Sage-Grouse,Galliformes,Phasianidae,Centrocercus,urophasianus,1745,151,f,urophasianus,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
107,3090,Greater Sage-Grouse,Galliformes,Phasianidae,Centrocercus,urophasianus,2600,NA,m,phaios,"California, USA",NA,NA,NA,NA,NA,NA,NA
107,3090,Greater Sage-Grouse,Galliformes,Phasianidae,Centrocercus,urophasianus,3190,183,m,urophasianus,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
108,3089,Gunnison Sage-Grouse,Galliformes,Phasianidae,Centrocercus,minimus,1200,NA,f,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
108,3089,Gunnison Sage-Grouse,Galliformes,Phasianidae,Centrocercus,minimus,2100,NA,m,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
109,2980,Spruce Grouse,Galliformes,Phasianidae,Falcipennis,canadensis,456,27.5,f,NA,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
109,2980,Spruce Grouse,Galliformes,Phasianidae,Falcipennis,canadensis,492,31.5,m,NA,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
110,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus,lagopus,473,27.2,f,alba,"Yukon Territory, Canada",NA,NA,NA,NA,NA,NA,NA
110,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus,lagopus,525,35.9,f,alascensis,"Alaska, USA",NA,NA,NA,NA,NA,NA,NA
110,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus,lagopus,547,42.4,m,alba,"Yukon Territory, Canada",NA,NA,NA,NA,NA,NA,NA
110,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus,lagopus,586,NA,f,scotica,NA,NA,NA,NA,NA,NA,NA,NA
110,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus,lagopus,613,38.6,m,alascensis,"Alaska, USA",NA,NA,NA,NA,NA,NA,NA
110,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus,lagopus,680,NA,m,scotica,NA,NA,NA,NA,NA,NA,NA,NA
111,3020,Rock Ptarmigan,Galliformes,Phasianidae,Lagopus,muta,521,37.9,m,NA,"Northwest Terr., Canada",NA,NA,NA,NA,NA,NA,NA
111,3020,Rock Ptarmigan,Galliformes,Phasianidae,Lagopus,muta,550,49.9,f,NA,"Northwest Terr., Canada",NA,NA,NA,NA,NA,NA,NA
112,3040,White-tailed Ptarmigan,Galliformes,Phasianidae,Lagopus,leucura,351,NA,f,NA,"Alaska, USA",NA,NA,NA,NA,NA,NA,NA
112,3040,White-tailed Ptarmigan,Galliformes,Phasianidae,Lagopus,leucura,359,NA,m,NA,"Alaska, USA",NA,NA,NA,NA,NA,NA,NA
113,2970,Dusky Grouse,Galliformes,Phasianidae,Dendragapus,obscurus,905,63.5,f,pallidus,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
113,2970,Dusky Grouse,Galliformes,Phasianidae,Dendragapus,obscurus,1212,78.4,m,pallidus,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
114,2971,Sooty Grouse,Galliformes,Phasianidae,Dendragapus,fuliginosus,839,59.7,f,NA,"British Columbia, Canada",NA,NA,NA,NA,NA,NA,NA
114,2971,Sooty Grouse,Galliformes,Phasianidae,Dendragapus,fuliginosus,1273,87.8,m,NA,"British Columbia, Canada",NA,NA,NA,NA,NA,NA,NA
116,3080,Sharp-tailed Grouse,Galliformes,Phasianidae,Tympanuchus,phasianellus,817,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,3080,Sharp-tailed Grouse,Galliformes,Phasianidae,Tympanuchus,phasianellus,953,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,3050,Greater Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,cupido,730,NA,f,attwateri,"Texas, USA",NA,NA,NA,NA,NA,NA,NA
117,3050,Greater Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,cupido,795,NA,f,pinnatus,"Kansas, USA",NA,NA,NA,NA,NA,NA,NA
117,3050,Greater Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,cupido,813,NA,f,cupido,"Massachusetts, USA",NA,NA,NA,NA,NA,NA,NA
117,3050,Greater Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,cupido,933,NA,m,pinnatus,"Kansas, USA",NA,NA,NA,NA,NA,NA,NA
117,3050,Greater Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,cupido,972,NA,m,cupido,"Massachusetts, USA",NA,NA,NA,NA,NA,NA,NA
117,3050,Greater Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,cupido,1014,NA,m,attwateri,"Texas, USA",NA,NA,NA,NA,NA,NA,NA
118,3070,Lesser Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,730,NA,f,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
118,3070,Lesser Prairie-Chicken,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,762,NA,m,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
119,3100,Wild Turkey,Galliformes,Phasianidae,Meleagris,gallopavo,4300,NA,f,silvestris,"New York, USA",NA,NA,NA,NA,NA,NA,NA
119,3100,Wild Turkey,Galliformes,Phasianidae,Meleagris,gallopavo,7800,NA,m,silvestris,"New York, USA",NA,NA,NA,NA,NA,NA,NA
130,3131,Rock Pigeon,Columbiformes,Columbidae,Columba,livia,340,34.7,f,NA,"Kansas, USA",NA,NA,NA,NA,NA,NA,NA
130,3131,Rock Pigeon,Columbiformes,Columbidae,Columba,livia,369,38.6,m,NA,"Kansas, USA",NA,NA,NA,NA,NA,NA,NA
134,3140,White-crowned Pigeon,Columbiformes,Columbidae,Patagioenas,leucocephala,230,14,f,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
134,3140,White-crowned Pigeon,Columbiformes,Columbidae,Patagioenas,leucocephala,238,NA,NA,NA,Cuba,NA,NA,NA,NA,NA,NA,NA
134,3140,White-crowned Pigeon,Columbiformes,Columbidae,Patagioenas,leucocephala,253,31,m,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
135,3130,Red-billed Pigeon,Columbiformes,Columbidae,Patagioenas,flavirostris,261,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,3130,Red-billed Pigeon,Columbiformes,Columbidae,Patagioenas,flavirostris,281,NA,NA,NA,"Tres Marias Is., Mexico",NA,NA,NA,NA,NA,NA,NA
136,3120,Band-tailed Pigeon,Columbiformes,Columbidae,Patagioenas,fasciata,332,NA,f,fasciata,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
136,3120,Band-tailed Pigeon,Columbiformes,Columbidae,Patagioenas,fasciata,353,NA,m,fasciata,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
136,3120,Band-tailed Pigeon,Columbiformes,Columbidae,Patagioenas,fasciata,386,NA,f,monilis,"California, USA",NA,NA,NA,NA,NA,NA,NA
136,3120,Band-tailed Pigeon,Columbiformes,Columbidae,Patagioenas,fasciata,398,NA,m,monilis,"California, USA",NA,NA,NA,NA,NA,NA,NA
139,3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Columbiformes,Columbidae,Streptopelia,roseogrisea,155,NA,NA,NA,Chad; Niger,NA,NA,NA,NA,NA,NA,NA
141,22860,Eurasian Collared-Dove,Columbiformes,Columbidae,Streptopelia,decaocto,146,10.3,f,NA,India,NA,NA,NA,NA,NA,NA,NA
141,22860,Eurasian Collared-Dove,Columbiformes,Columbidae,Streptopelia,decaocto,152,11.6,m,NA,India,NA,NA,NA,NA,NA,NA,NA
142,3151,Spotted Dove,Columbiformes,Columbidae,Streptopelia,chinensis,159,11,NA,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
143,3210,Inca Dove,Columbiformes,Columbidae,Columbina,inca,47.5,4.4,NA,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
144,3200,Common Ground-Dove,Columbiformes,Columbidae,Columbina,passerina,28.5,2.4,NA,exigua,"Mona Is., Puerto Rico",NA,NA,NA,NA,NA,NA,NA
144,3200,Common Ground-Dove,Columbiformes,Columbidae,Columbina,passerina,32,2.5,NA,NA,Barbuda,NA,NA,NA,NA,NA,NA,NA
144,3200,Common Ground-Dove,Columbiformes,Columbidae,Columbina,passerina,35.4,2.5,NA,portoricensis,Puerto Rico,NA,NA,NA,NA,NA,NA,NA
144,3200,Common Ground-Dove,Columbiformes,Columbidae,Columbina,passerina,36.4,4.5,NA,NA,Dominican Republic,NA,NA,NA,NA,NA,NA,NA
144,3200,Common Ground-Dove,Columbiformes,Columbidae,Columbina,passerina,37,NA,NA,passerina,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
144,3200,Common Ground-Dove,Columbiformes,Columbidae,Columbina,passerina,39.5,4.1,NA,NA,Cuba,NA,NA,NA,NA,NA,NA,NA
144,3200,Common Ground-Dove,Columbiformes,Columbidae,Columbina,passerina,40.3,2.2,NA,NA,St. Lucia,NA,NA,NA,NA,NA,NA,NA
146,3201,Ruddy Ground-Dove,Columbiformes,Columbidae,Columbina,talpacoti,45.6,6.1,NA,NA,Venezuela,NA,NA,NA,NA,NA,NA,NA
146,3201,Ruddy Ground-Dove,Columbiformes,Columbidae,Columbina,talpacoti,46.5,NA,NA,NA,Trinidad,NA,NA,NA,NA,NA,NA,NA
151,3180,White-tipped Dove,Columbiformes,Columbidae,Leptotila,verreauxi,134,NA,NA,tobagensis,Tobago,NA,NA,NA,NA,NA,NA,NA
151,3180,White-tipped Dove,Columbiformes,Columbidae,Leptotila,verreauxi,161,31.6,NA,NA,El Salvador,NA,NA,NA,NA,NA,NA,NA
157,3190,White-winged Dove,Columbiformes,Columbidae,Zenaida,asiatica,153,13.2,NA,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
159,3160,Mourning Dove,Columbiformes,Columbidae,Zenaida,macroura,115,1.8,f,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA
159,3160,Mourning Dove,Columbiformes,Columbidae,Zenaida,macroura,123,1.8,m,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA
165,3870,Yellow-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus,americanus,64,9.1,NA,NA,"Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
166,3860,Mangrove Cuckoo,Cuculiformes,Cuculidae,Coccyzus,minor,63.9,10.8,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA
167,3880,Black-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,50.9,7.3,NA,NA,"Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
173,3850,Greater Roadrunner,Cuculiformes,Cuculidae,Geococcyx,californianus,376,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,3830,Smooth-billed Ani,Cuculiformes,Cuculidae,Crotophaga,ani,92.6,NA,f,NA,Panama,NA,NA,NA,NA,NA,NA,NA
174,3830,Smooth-billed Ani,Cuculiformes,Cuculidae,Crotophaga,ani,94.8,49.6,f,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
174,3830,Smooth-billed Ani,Cuculiformes,Cuculidae,Crotophaga,ani,100,40.5,m,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
174,3830,Smooth-billed Ani,Cuculiformes,Cuculidae,Crotophaga,ani,111,NA,m,NA,Panama,NA,NA,NA,NA,NA,NA,NA
174,3830,Smooth-billed Ani,Cuculiformes,Cuculidae,Crotophaga,ani,121,20.8,m,NA,Caribbean Is.,NA,NA,NA,NA,NA,NA,NA
174,3830,Smooth-billed Ani,Cuculiformes,Cuculidae,Crotophaga,ani,151,4.1,f,NA,Caribbean Is.,NA,NA,NA,NA,NA,NA,NA
175,3840,Groove-billed Ani,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,77.1,9.6,f,NA,Mexico,NA,NA,NA,NA,NA,NA,NA
175,3840,Groove-billed Ani,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,87.3,4.1,m,NA,Mexico,NA,NA,NA,NA,NA,NA,NA
196,4220,Black Swift,Apodiformes,Apodidae,Cypseloides,niger,35.4,1.9,NA,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA
196,4220,Black Swift,Apodiformes,Apodidae,Cypseloides,niger,38.7,2.4,NA,NA,Western Mexico,NA,NA,NA,NA,NA,NA,NA
196,4220,Black Swift,Apodiformes,Apodidae,Cypseloides,niger,45.6,2.5,NA,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
201,4230,Chimney Swift,Apodiformes,Apodidae,Chaetura,pelagica,23.6,NA,NA,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA
202,4240,Vaux's Swift,Apodiformes,Apodidae,Chaetura,vauxi,17.1,1.3,NA,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
206,4250,White-throated Swift,Apodiformes,Apodidae,Aeronautes,saxatalis,32.1,2.5,NA,NA,"California, USA",NA,NA,NA,NA,NA,NA,NA
219,4260,Rivoli's Hummingbird,Apodiformes,Trochilidae,Eugenes,fulgens,6.4,0.5,f,NA,"Oaxaca, Mexico",NA,NA,NA,NA,NA,NA,NA
219,4260,Rivoli's Hummingbird,Apodiformes,Trochilidae,Eugenes,fulgens,7.7,0.4,m,NA,"Oaxaca, Mexico",NA,NA,NA,NA,NA,NA,NA
219,4260,Rivoli's Hummingbird,Apodiformes,Trochilidae,Eugenes,fulgens,8.4,0.3,f,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA
219,4260,Rivoli's Hummingbird,Apodiformes,Trochilidae,Eugenes,fulgens,9.9,0.3,m,NA,Costa Rica,NA,NA,NA,NA,NA,NA,NA
224,4270,Blue-throated Hummingbird,Apodiformes,Trochilidae,Lampornis,clemenciae,6.8,0.3,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,4270,Blue-throated Hummingbird,Apodiformes,Trochilidae,Lampornis,clemenciae,8.4,0.2,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,4370,Lucifer Hummingbird,Apodiformes,Trochilidae,Calothorax,lucifer,3.3,NA,NA,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
232,4280,Ruby-throated Hummingbird,Apodiformes,Trochilidae,Archilochus,colubris,2.9,0.2,m,NA,"Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
232,4280,Ruby-throated Hummingbird,Apodiformes,Trochilidae,Archilochus,colubris,3.3,0.3,f,NA,"Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
233,4290,Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus,alexandri,3.2,0.4,m,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
233,4290,Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus,alexandri,3.6,0.4,f,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
235,4310,Anna's Hummingbird,Apodiformes,Trochilidae,Calypte,anna,4,0.4,f,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
235,4310,Anna's Hummingbird,Apodiformes,Trochilidae,Calypte,anna,4.5,0.4,m,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
236,4300,Costa's Hummingbird,Apodiformes,Trochilidae,Calypte,costae,3,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,4300,Costa's Hummingbird,Apodiformes,Trochilidae,Calypte,costae,3.2,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,4320,Broad-tailed Hummingbird,Apodiformes,Trochilidae,Selasphorus,platycercus,3.5,0.3,m,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
239,4320,Broad-tailed Hummingbird,Apodiformes,Trochilidae,Selasphorus,platycercus,3.6,0.4,f,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
240,4330,Rufous Hummingbird,Apodiformes,Trochilidae,Selasphorus,rufus,3.5,NA,NA,NA,"Arizona, USA",NA,NA,NA,NA,NA,NA,NA
241,4340,Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus,sasin,3.1,NA,m,sasin,NA,NA,NA,NA,NA,NA,NA,NA
241,4340,Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus,sasin,3.2,NA,f,sasin,NA,NA,NA,NA,NA,NA,NA,NA
241,4340,Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus,sasin,3.5,NA,m,sedentarius,NA,NA,NA,NA,NA,NA,NA,NA
241,4340,Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus,sasin,3.7,NA,f,sedentarius,NA,NA,NA,NA,NA,NA,NA,NA
244,4360,Calliope Hummingbird,Apodiformes,Trochilidae,Selasphorus,calliope,2.5,NA,m,NA,NA,1,Stellula callipoe,NA,NA,NA,NA,NA
244,4360,Calliope Hummingbird,Apodiformes,Trochilidae,Selasphorus,calliope,2.8,NA,f,NA,NA,1,Stellula callipoe,NA,NA,NA,NA,NA
249,4410,Broad-billed Hummingbird,Apodiformes,Trochilidae,Cynanthus,latirostris,3.1,0.4,NA,NA,Western Mexico,NA,NA,NA,NA,NA,NA,NA
265,4390,Buff-bellied Hummingbird,Apodiformes,Trochilidae,Amazilia,yucatanensis,3.7,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,4390,Buff-bellied Hummingbird,Apodiformes,Trochilidae,Amazilia,yucatanensis,4.1,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,4391,Violet-crowned Hummingbird,Apodiformes,Trochilidae,Amazilia,violiceps,5.1,0.4,NA,NA,"Arizona, USA",1,Agyrtria violiceps,NA,NA,NA,NA,NA
